,Run number,Measurement num,X Pos,Y Pos,Z Pos,Tilt angle,Pan angle,Re[S11],Re[S12],Re[S21],Re[S22],Im[S11],Im[S12],Im[S21],Im[S22]
10,1,11,5.0,5.0,-10.0,-0.015,88.024,"[-1.004291  -0.9955634 -0.9991462 -1.004015  -0.9962065 -0.9927615
 -0.9857336 -1.004934  -0.9942774 -0.9959768 -0.9971712]","[-52.24815 -48.54807 -48.50479 -53.24399 -50.71346 -46.7348  -46.36761
 -49.3243  -50.99301 -47.56941 -47.78667]","[-52.02666 -48.28046 -48.23902 -52.94896 -50.53204 -46.52383 -46.12673
 -49.09329 -50.84805 -47.29266 -47.62053]","[-5.617258 -5.533796 -6.628439 -8.137356 -8.145624 -6.934861 -6.145034
 -6.588017 -7.945354 -7.466955 -7.774388]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
11,1,12,15.0,5.0,-10.0,-0.015,88.024,"[-1.004291  -0.9955634 -0.9991462 -1.004015  -0.9962065 -0.9927615
 -0.9857336 -1.004934  -0.9942774 -0.9959768 -0.9971712 -0.9923481]","[-52.24815 -48.54807 -48.50479 -53.24399 -50.71346 -46.7348  -46.36761
 -49.3243  -50.99301 -47.56941 -47.78667 -52.69463]","[-52.02666 -48.28046 -48.23902 -52.94896 -50.53204 -46.52383 -46.12673
 -49.09329 -50.84805 -47.29266 -47.62053 -52.52233]","[-5.617258 -5.533796 -6.628439 -8.137356 -8.145624 -6.934861 -6.145034
 -6.588017 -7.945354 -7.466955 -7.774388 -8.497934]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
12,1,13,15.0,15.0,-10.0,-0.015,88.024,"[-1.004291  -0.9955634 -0.9991462 -1.004015  -0.9962065 -0.9927615
 -0.9857336 -1.004934  -0.9942774 -0.9959768 -0.9971712 -0.9923481
 -0.9877088]","[-52.24815 -48.54807 -48.50479 -53.24399 -50.71346 -46.7348  -46.36761
 -49.3243  -50.99301 -47.56941 -47.78667 -52.69463 -63.00147]","[-52.02666 -48.28046 -48.23902 -52.94896 -50.53204 -46.52383 -46.12673
 -49.09329 -50.84805 -47.29266 -47.62053 -52.52233 -62.69951]","[-5.617258 -5.533796 -6.628439 -8.137356 -8.145624 -6.934861 -6.145034
 -6.588017 -7.945354 -7.466955 -7.774388 -8.497934 -8.839725]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
13,1,14,5.0,15.0,-10.0,-0.015,88.024,"[-1.004291  -0.9955634 -0.9991462 -1.004015  -0.9962065 -0.9927615
 -0.9857336 -1.004934  -0.9942774 -0.9959768 -0.9971712 -0.9923481
 -0.9877088 -1.006955 ]","[-52.24815 -48.54807 -48.50479 -53.24399 -50.71346 -46.7348  -46.36761
 -49.3243  -50.99301 -47.56941 -47.78667 -52.69463 -63.00147 -54.84225]","[-52.02666 -48.28046 -48.23902 -52.94896 -50.53204 -46.52383 -46.12673
 -49.09329 -50.84805 -47.29266 -47.62053 -52.52233 -62.69951 -54.57565]","[-5.617258 -5.533796 -6.628439 -8.137356 -8.145624 -6.934861 -6.145034
 -6.588017 -7.945354 -7.466955 -7.774388 -8.497934 -8.839725 -8.652363]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
14,1,15,-5.0,15.0,-10.0,-0.015,88.024,"[-1.004291  -0.9955634 -0.9991462 -1.004015  -0.9962065 -0.9927615
 -0.9857336 -1.004934  -0.9942774 -0.9959768 -0.9971712 -0.9923481
 -0.9877088 -1.006955  -0.9897758]","[-52.24815 -48.54807 -48.50479 -53.24399 -50.71346 -46.7348  -46.36761
 -49.3243  -50.99301 -47.56941 -47.78667 -52.69463 -63.00147 -54.84225
 -54.00217]","[-52.02666 -48.28046 -48.23902 -52.94896 -50.53204 -46.52383 -46.12673
 -49.09329 -50.84805 -47.29266 -47.62053 -52.52233 -62.69951 -54.57565
 -53.77075]","[-5.617258 -5.533796 -6.628439 -8.137356 -8.145624 -6.934861 -6.145034
 -6.588017 -7.945354 -7.466955 -7.774388 -8.497934 -8.839725 -8.652363
 -8.574091]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
15,1,16,-15.0,15.0,-10.0,-0.015,88.024,"[-1.004291  -0.9955634 -0.9991462 -1.004015  -0.9962065 -0.9927615
 -0.9857336 -1.004934  -0.9942774 -0.9959768 -0.9971712 -0.9923481
 -0.9877088 -1.006955  -0.9897758 -0.9956553]","[-52.24815 -48.54807 -48.50479 -53.24399 -50.71346 -46.7348  -46.36761
 -49.3243  -50.99301 -47.56941 -47.78667 -52.69463 -63.00147 -54.84225
 -54.00217 -59.68884]","[-52.02666 -48.28046 -48.23902 -52.94896 -50.53204 -46.52383 -46.12673
 -49.09329 -50.84805 -47.29266 -47.62053 -52.52233 -62.69951 -54.57565
 -53.77075 -59.29463]","[-5.617258 -5.533796 -6.628439 -8.137356 -8.145624 -6.934861 -6.145034
 -6.588017 -7.945354 -7.466955 -7.774388 -8.497934 -8.839725 -8.652363
 -8.574091 -8.744276]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
16,1,17,-15.0,15.0,-5.0,-0.015,88.024,"[-1.004291  -0.9955634 -0.9991462 -1.004015  -0.9962065 -0.9927615
 -0.9857336 -1.004934  -0.9942774 -0.9959768 -0.9971712 -0.9923481
 -0.9877088 -1.006955  -0.9897758 -0.9956553 -0.994415 ]","[-52.24815 -48.54807 -48.50479 -53.24399 -50.71346 -46.7348  -46.36761
 -49.3243  -50.99301 -47.56941 -47.78667 -52.69463 -63.00147 -54.84225
 -54.00217 -59.68884 -60.25492]","[-52.02666 -48.28046 -48.23902 -52.94896 -50.53204 -46.52383 -46.12673
 -49.09329 -50.84805 -47.29266 -47.62053 -52.52233 -62.69951 -54.57565
 -53.77075 -59.29463 -60.05446]","[-5.617258 -5.533796 -6.628439 -8.137356 -8.145624 -6.934861 -6.145034
 -6.588017 -7.945354 -7.466955 -7.774388 -8.497934 -8.839725 -8.652363
 -8.574091 -8.744276 -8.885199]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
17,1,18,-5.0,15.0,-5.0,-0.015,88.024,"[-1.004291  -0.9955634 -0.9991462 -1.004015  -0.9962065 -0.9927615
 -0.9857336 -1.004934  -0.9942774 -0.9959768 -0.9971712 -0.9923481
 -0.9877088 -1.006955  -0.9897758 -0.9956553 -0.994415  -0.9917051]","[-52.24815 -48.54807 -48.50479 -53.24399 -50.71346 -46.7348  -46.36761
 -49.3243  -50.99301 -47.56941 -47.78667 -52.69463 -63.00147 -54.84225
 -54.00217 -59.68884 -60.25492 -56.4011 ]","[-52.02666 -48.28046 -48.23902 -52.94896 -50.53204 -46.52383 -46.12673
 -49.09329 -50.84805 -47.29266 -47.62053 -52.52233 -62.69951 -54.57565
 -53.77075 -59.29463 -60.05446 -56.24331]","[-5.617258 -5.533796 -6.628439 -8.137356 -8.145624 -6.934861 -6.145034
 -6.588017 -7.945354 -7.466955 -7.774388 -8.497934 -8.839725 -8.652363
 -8.574091 -8.744276 -8.885199 -8.810741]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
18,1,19,5.0,15.0,-5.0,-0.015,88.024,"[-1.004291  -0.9955634 -0.9991462 -1.004015  -0.9962065 -0.9927615
 -0.9857336 -1.004934  -0.9942774 -0.9959768 -0.9971712 -0.9923481
 -0.9877088 -1.006955  -0.9897758 -0.9956553 -0.994415  -0.9917051
 -0.9942774]","[-52.24815 -48.54807 -48.50479 -53.24399 -50.71346 -46.7348  -46.36761
 -49.3243  -50.99301 -47.56941 -47.78667 -52.69463 -63.00147 -54.84225
 -54.00217 -59.68884 -60.25492 -56.4011  -56.72759]","[-52.02666 -48.28046 -48.23902 -52.94896 -50.53204 -46.52383 -46.12673
 -49.09329 -50.84805 -47.29266 -47.62053 -52.52233 -62.69951 -54.57565
 -53.77075 -59.29463 -60.05446 -56.24331 -56.6581 ]","[-5.617258 -5.533796 -6.628439 -8.137356 -8.145624 -6.934861 -6.145034
 -6.588017 -7.945354 -7.466955 -7.774388 -8.497934 -8.839725 -8.652363
 -8.574091 -8.744276 -8.885199 -8.810741 -8.845558]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
19,1,20,15.0,15.0,-5.0,-0.015,88.024,"[-1.004291  -0.9955634 -0.9991462 -1.004015  -0.9962065 -0.9927615
 -0.9857336 -1.004934  -0.9942774 -0.9959768 -0.9971712 -0.9923481
 -0.9877088 -1.006955  -0.9897758 -0.9956553 -0.994415  -0.9917051
 -0.9942774 -1.006909 ]","[-52.24815 -48.54807 -48.50479 -53.24399 -50.71346 -46.7348  -46.36761
 -49.3243  -50.99301 -47.56941 -47.78667 -52.69463 -63.00147 -54.84225
 -54.00217 -59.68884 -60.25492 -56.4011  -56.72759 -62.49574]","[-52.02666 -48.28046 -48.23902 -52.94896 -50.53204 -46.52383 -46.12673
 -49.09329 -50.84805 -47.29266 -47.62053 -52.52233 -62.69951 -54.57565
 -53.77075 -59.29463 -60.05446 -56.24331 -56.6581  -62.08614]","[-5.617258 -5.533796 -6.628439 -8.137356 -8.145624 -6.934861 -6.145034
 -6.588017 -7.945354 -7.466955 -7.774388 -8.497934 -8.839725 -8.652363
 -8.574091 -8.744276 -8.885199 -8.810741 -8.845558 -8.940596]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
