
0,0,0,-11.9491,-3.793972,-3.656999,-9.394327
10,0,0,-11.93349,-3.78869,-3.668574,-9.400848
20,0,0,-11.93477,-3.802608,-3.660857,-9.403147

20,10,0,-11.94864,-3.793651,-3.668206,-9.402182
10,10,0,-11.94717,-3.795074,-3.663199,-9.405075
0,10,0,-11.95838,-3.802056,-3.657596,-9.397449

0,20,0,-11.95407,-3.796774,-3.662786,-9.401033
10,20,0,-11.93679,-3.795993,-3.659019,-9.402779
20,20,0,-11.9554,-3.795993,-3.666277,-9.397818

20,20,-10,-11.95149,-3.802837,-3.661087,-9.411367
10,20,-10,-11.94745,-3.791446,-3.657596,-9.401217
0,20,-10,-11.94106,-3.790527,-3.658147,-9.393408

0,10,-10,-11.94823,-3.799668,-3.660673,-9.396393
10,10,-10,-11.94598,-3.791079,-3.663567,-9.399426
20,10,-10,-11.93716,-3.800081,-3.658698,-9.398506

20,0,-10,-11.94571,-3.795304,-3.661776,-9.40163
10,0,-10,-11.94001,-3.798428,-3.65833,-9.40333
0,0,-10,-11.9412,-3.797371,-3.663337,-9.399746
